body,title
"





Obras públicas

01:00 a.m. 




                            Las obras prometidas que los alcaldes dejaron pendientes
                        


Recordamos algunas grandes promesas de los actuales mandatarios y le c ...












Liberaciones de secu...

07:31 p.m. 




                            Liberan a los tres contratistas secuestrados en Ituango, Antioquia
                        


Autoridades anunciaron recompensa por cabecillas del frente residual 1 ...














Accidente

07:27 p.m. 




                            Susto de un conductor, luego de que su carro se hundió en lago de Cali
                        












Elecciones 2019

05:07 p.m. 




                            Queman carro de candidato de la U a la alcaldía de El Zulia
                        












Cartagena

03:38 p.m. 




                            El Rey de los picó celebra 35 años de carrera artística en Cartagena
                        









","
El ‘top’ de las ciudades con más multimillonarios en el mundo en 2019
"
"





Obras públicas

01:00 a.m. 




                            Las obras prometidas que los alcaldes dejaron pendientes
                        


Recordamos algunas grandes promesas de los actuales mandatarios y le c ...












Liberaciones de secu...

07:31 p.m. 




                            Liberan a los tres contratistas secuestrados en Ituango, Antioquia
                        


Autoridades anunciaron recompensa por cabecillas del frente residual 1 ...














Accidente

07:27 p.m. 




                            Susto de un conductor, luego de que su carro se hundió en lago de Cali
                        












Elecciones 2019

05:07 p.m. 




                            Queman carro de candidato de la U a la alcaldía de El Zulia
                        












Cartagena

03:38 p.m. 




                            El Rey de los picó celebra 35 años de carrera artística en Cartagena
                        









","Pipian y carantanta, insignias culinarias del Cauca y Popayán"
"Aunque el crecimiento de la economía viene rebotando desde finales del 2017, pasando del 1,7 por ciento en ese año a 2,7 por ciento en el 2018 y al 3 por ciento al corte del primer semestre, ello no ha sido suficiente para absorber la mano de obra, a tal punto que la generación de empleo, que crecía al 1 por ciento, hoy está cayendo a tasas del 6 por ciento.La situación se ha visto reflejada en los niveles de desempleo, que de estar por debajo del 9 por ciento en el 2015 han venido subiendo continuamente cuatro años, hasta llegar al 11,8 por ciento en agosto pasado, mientras que la tasa de desocupación de los jóvenes, según el Dane, se ubicó en 17,5 por ciento en el trimestre mayo-julio, el nivel más alto desde el 2013 para este mismo período, según el Dane.","Salario diferencial para jóvenes, idea que calienta el debate laboral"
"La declaración del presidente de Estados Unidos, Donald Trump, sobre que cuatro congresistas demócratas –Ayanna Pressley, Alexandria Ocasio-Cortez, Ilhan Omar y Rashida Tlaib– deberían “regresar” a sus países fue un recordatorio más de su descarado racismo y sexismo. Tres de ellas nacieron en EE. UU. y la cuarta se convirtió en ciudadana de ese país cuando aún era menor de edad. Sin embargo, dicha declaración también resalta los perfiles en ascenso de las mujeres en el ámbito de la política. Una tendencia que continuará, sin importar si esto aterroriza a hombres inseguros como Trump.","Mujeres en el poder, una ola que crece día a día"
"





Obras públicas

01:00 a.m. 




                            Las obras prometidas que los alcaldes dejaron pendientes
                        


Recordamos algunas grandes promesas de los actuales mandatarios y le c ...












Liberaciones de secu...

07:31 p.m. 




                            Liberan a los tres contratistas secuestrados en Ituango, Antioquia
                        


Autoridades anunciaron recompensa por cabecillas del frente residual 1 ...














Accidente

07:27 p.m. 




                            Susto de un conductor, luego de que su carro se hundió en lago de Cali
                        












Elecciones 2019

05:07 p.m. 




                            Queman carro de candidato de la U a la alcaldía de El Zulia
                        












Cartagena

03:38 p.m. 




                            El Rey de los picó celebra 35 años de carrera artística en Cartagena
                        









","
El ‘top’ de las ciudades con más multimillonarios en el mundo en 2019
"
"





Obras públicas

01:00 a.m. 




                            Las obras prometidas que los alcaldes dejaron pendientes
                        


Recordamos algunas grandes promesas de los actuales mandatarios y le c ...












Liberaciones de secu...

07:31 p.m. 




                            Liberan a los tres contratistas secuestrados en Ituango, Antioquia
                        


Autoridades anunciaron recompensa por cabecillas del frente residual 1 ...














Accidente

07:27 p.m. 




                            Susto de un conductor, luego de que su carro se hundió en lago de Cali
                        












Elecciones 2019

05:07 p.m. 




                            Queman carro de candidato de la U a la alcaldía de El Zulia
                        












Cartagena

03:38 p.m. 




                            El Rey de los picó celebra 35 años de carrera artística en Cartagena
                        









","
Síntesis y estadísticas de la fecha 17 de la Liga
"
"El grupo argentino de humoristas musicales Les Luthiers recibió el jueves pasado en Madrid un homenaje del Instituto Cervantes y de personajes de la cultura en lengua española. Como ya lo ha hecho con una docena de autores, el Instituto guardó en cajilla de seguridad un legado de recuerdos y memorias del famoso conjunto: partituras, discos, videos, instrumentos, libros y un corbatín, entre otros. La urna solo podrá abrirse el 4 de septiembre de 2042.(Le puede interesar: 'Monos' gana premio a mejor película en Festival de Cine de Londres)",Les Luthiers: las palabras vuelan…en primera clase
"Cinco zonas han sido identificadas como las de mayor concentración de cultivos de matas de coca – 10 hectáreas por kilómetro cuadrado – en el país, tres de ellas conforman un solo eje porque están ubicadas geográficamente en la costa Pacífica.Se trata de El Tambo y Argelia, en Cauca, El Charco-cuenca alta del río Telembí en Nariño, y  el Naya, en el Valle. Precisamente Nariño, de acuerdo con el Sistema de Monitoreo de Naciones Unidas (2018) se mantiene como el departamento con mayor número de hectáreas con cultivos de coca: 41.903, lo que de acuerdo con expertos consultados por este diario se traduce en un potencial de producción de clorhidrato de cocaína promedio a 300 o 350 toneladas.",Más de 21 toneladas de coca se han incautado en semisumergibles
"





Obras públicas

01:00 a.m. 




                            Las obras prometidas que los alcaldes dejaron pendientes
                        


Recordamos algunas grandes promesas de los actuales mandatarios y le c ...












Liberaciones de secu...

07:31 p.m. 




                            Liberan a los tres contratistas secuestrados en Ituango, Antioquia
                        


Autoridades anunciaron recompensa por cabecillas del frente residual 1 ...














Accidente

07:27 p.m. 




                            Susto de un conductor, luego de que su carro se hundió en lago de Cali
                        












Elecciones 2019

05:07 p.m. 




                            Queman carro de candidato de la U a la alcaldía de El Zulia
                        












Cartagena

03:38 p.m. 




                            El Rey de los picó celebra 35 años de carrera artística en Cartagena
                        









","
El ‘top’ de las ciudades con más multimillonarios en el mundo en 2019
"
"Federico Gutiérrez, alcalde de Medellín, ya tiene la estructuración de una de las obras claves para el futuro de la ciudad: el tren ligero de la 80. En Bucaramanga, Rodolfo Hernández no cumplió con la construcción de vivienda. En Barranquilla faltó recuperar en su totalidad el paseo Bolívar y Pereira no tendrá aún su ""central park"".",Las obras prometidas que los alcaldes dejaron pendientes
"Al desierto de La Tatacoa, en Huila, han llegado geólogos y paleontólogos, desde hace más de 100 años, atraídos principalmente por la cantidad de restos fósiles que sin mucho esfuerzo se encuentran en los 330 kilómetros cuadrados que componen la segunda zona más árida de Colombia, que, aunque le llaman desierto, su ecosistema es realmente un bosque seco tropical. Decimos que “sin mucho esfuerzo” porque eso repiten los científicos constantemente, pero es solo llegar al lugar y darse cuenta de que el asunto, a ojos no entrenados, se parece más a encontrar un cabello en un campo de fútbol.","Desierto de La Tatacoa, el sitio más rico en fósiles del trópico"
"Se oyen pasos de animal grande por el lado del escenario internacional. No me refiero a la dimensión política en la que los desafíos son serios y se han agravado, pero frente a los cuales –dado el curso de la actual estrategia de relaciones exteriores– no quedan demasiadas esperanzas de que se corrija el rumbo. Hacemos alusión, más bien, a otra constelación de severos riesgos para el país. Se trata de ese conjunto de nubarrones de tormenta que se ciernen sobre el horizonte de la economía mundial.",
"





Obras públicas

01:00 a.m. 




                            Las obras prometidas que los alcaldes dejaron pendientes
                        


Recordamos algunas grandes promesas de los actuales mandatarios y le c ...












Liberaciones de secu...

07:31 p.m. 




                            Liberan a los tres contratistas secuestrados en Ituango, Antioquia
                        


Autoridades anunciaron recompensa por cabecillas del frente residual 1 ...














Accidente

07:27 p.m. 




                            Susto de un conductor, luego de que su carro se hundió en lago de Cali
                        












Elecciones 2019

05:07 p.m. 




                            Queman carro de candidato de la U a la alcaldía de El Zulia
                        












Cartagena

03:38 p.m. 




                            El Rey de los picó celebra 35 años de carrera artística en Cartagena
                        









",200 años de lo que somos
"El fotógrafo Saurav Anuraj está en 'el ojo del huracán' por haber realizado una sesión de fotos de Moda, con una estudiante llamada Aditi Singh como modelo, precisamente en Patna (Bihar, India) y durante las inundaciones ocasionadas la semana pasada por lluvias torrenciales que han dejado al menos 59 muertos en el norte del país asiático.",Indignación por sesión de fotos de modelo en medio de una inundación
"En materia de criminalidad, Medellín no es como las otras ciudades del país. El panorama en la capital antioqueña y su área metropolitana es, tal vez, el más complejo de todos, debido a que esta alberga 10 de los 23 grupos de delincuencia organizada (GDO) de Colombia, es decir, el 43 por ciento de estructuras de crimen con gran poder de cometer delitos y ejercer control territorial.",La estrategia de Medellín para golpear las bandas criminales
"La decisión del Consejo Nacional de Patrimonio Cultural (CNPC) de declarar un lote que está ubicado en las inmediaciones del cementerio Central, en la calle 26 entre carreras 19 y 19B, como Patrimonio Nacional, no tardó en hacer ampolla en la Administración Distrital, pues en ese terreno, de 3,6 hectáreas, el plan era construir un parque.",Memoria histórica vs. parque: la pelea del Alcalde con Patrimonio
"Luego de presentarse en las selecciones oficiales del Festival de Cine Francés en Portugal, Gran Bretaña, Argentina y Serbia, y de haber sido vendida a 40 países, se acaba de estrenar en Colombia ‘El emperador de París’, basada en la figura histórica del detective Eugène-François Vidocq. El personaje tiene una historia muy particular que trasciende el ámbito universal, al estilo de las obras clásicas de Victor Hugo, Poe y Balzac.",La historia de un buen ladrón a la francesa
"Colombia es de papel y solo funcionan las cosas en el mundo de la tinta. Escenificar los libretos de esta patria engañosa es una empresa en la que hemos fracasado. Aquí, tres capítulos de este sainete nacional para reír y llorar:Oasis pensional. Palabras que podrían entenderse, en un país civilizado, como metáfora de ese estadio glorioso en el que los ciudadanos, tras una vida de trabajo y confianza en el Estado, logran ir a casa con una pensión que les permite vivir dignamente. No, en Colombia oasis pensional quiere decir espejismo: cada vez que usted se acerca a la jubilación, el Gobierno y los legisladores van corriendo la edad para que la inmensa mayoría de los colombianos no llegue.",
"





Obras públicas

01:00 a.m. 




                            Las obras prometidas que los alcaldes dejaron pendientes
                        


Recordamos algunas grandes promesas de los actuales mandatarios y le c ...












Liberaciones de secu...

07:31 p.m. 




                            Liberan a los tres contratistas secuestrados en Ituango, Antioquia
                        


Autoridades anunciaron recompensa por cabecillas del frente residual 1 ...














Accidente

07:27 p.m. 




                            Susto de un conductor, luego de que su carro se hundió en lago de Cali
                        












Elecciones 2019

05:07 p.m. 




                            Queman carro de candidato de la U a la alcaldía de El Zulia
                        












Cartagena

03:38 p.m. 




                            El Rey de los picó celebra 35 años de carrera artística en Cartagena
                        









",Will Smith huye de Will Smith en Cartagena
"Una investigación de la Fiscalía General de la Nación, el Gaula Militar y la policía judicial del Inpec permitió identificar la forma en la que delinquía una banda criminal en varias prisiones del país.",Usaban las visitas conyugales para entrar drogas a las cárceles
"Según el pronóstico del clima, el termómetro en Washington llegará a 24 grados centígrados mañana, pero el jueves habrá bajado a los 17 grados, lo cual hará necesario desempolvar los suéteres y las chaquetas que se quedaron guardados durante el verano y ahora se vuelven indispensables para pasar el otoño. Las hojas caídas que ya comienzan a verse en las calles de la ciudad les recordarán tanto a los residentes como a los visitantes ocasionales que el invierno se encuentra a la vuelta de la esquina.(Le puede interesar: Los errores de Argentina y el FMI en la crisis de ese país)",Campanazo por la tasa de crecimiento mundial más baja de la década
"





Obras públicas

01:00 a.m. 




                            Las obras prometidas que los alcaldes dejaron pendientes
                        


Recordamos algunas grandes promesas de los actuales mandatarios y le c ...












Liberaciones de secu...

07:31 p.m. 




                            Liberan a los tres contratistas secuestrados en Ituango, Antioquia
                        


Autoridades anunciaron recompensa por cabecillas del frente residual 1 ...














Accidente

07:27 p.m. 




                            Susto de un conductor, luego de que su carro se hundió en lago de Cali
                        












Elecciones 2019

05:07 p.m. 




                            Queman carro de candidato de la U a la alcaldía de El Zulia
                        












Cartagena

03:38 p.m. 




                            El Rey de los picó celebra 35 años de carrera artística en Cartagena
                        









","
El ‘top’ de las ciudades con más multimillonarios en el mundo en 2019
"
"Así se vive desde adentro la marcha de los estudiantes, hasta el momento en que algo se sale de control. Además, en el pódcast de EL TIEMPO y Spotify: la historia de la monja que defendió a Álvaro Uribe y resultó no estar inscrita bajo ninguna congregación católica conocida. ¿quién es?; también, ¿por qué el próximo Festival Estéreo Picnic presenta un gran cartel y sin embargo enfrenta críticas?, agenda deportiva del fin de semana, ¿cuáles son, según la ciencia, las razones para que nos vaya mal en el amor? y al final, el Café Absenta de Maru Lombardo y una greca muy polémica.",¿Cómo una marcha pacífica se sale de control? / Deportes fin de semana
"Detrás de unas gafas oscuras de marca, un hábito tradicional y un pesado megáfono, la religiosa Adriana Torres salió el martes pasado del anonimato.En medio de la tensa jornada judicial que vivió el país ese día por la citación de la Corte Suprema al expresidente Álvaro Uribe, dentro del proceso que se le sigue por presunto fraude procesal y manipulación de testigos, la monja terminó destacándose entre la muchedumbre que lo esperaba en las afueras del Palacio de Justicia.“¡Que viva el sagrado Álvaro Uribe!”, “¿Por qué lo persiguen?”, “Él está con el señor Jesús”, “No es ningún paraco”, “Llevo la sangre uribista”, gritaba Torres.(Le puede interesar: Desde Roma preguntan por monja que gritó arengas a favor de Uribe)","La historia oculta de Adriana, la polémica monja uribista"
"Una fuerte polémica se generó en el equipo colombiano de Copa Davis, que estará jugando la fase final del torneo en Madrid entre el 18 y el 24 de noviembre de este año, cuando por una votación entre los jugadores más experimentados decidieron sacar al juvenil Nicolás Mejía de esta convocatoria.",¡Bomba en el equipo de Copa Davis! Jugadores sacaron a Nicolás Mejía
"





Obras públicas

01:00 a.m. 




                            Las obras prometidas que los alcaldes dejaron pendientes
                        


Recordamos algunas grandes promesas de los actuales mandatarios y le c ...












Liberaciones de secu...

07:31 p.m. 




                            Liberan a los tres contratistas secuestrados en Ituango, Antioquia
                        


Autoridades anunciaron recompensa por cabecillas del frente residual 1 ...














Accidente

07:27 p.m. 




                            Susto de un conductor, luego de que su carro se hundió en lago de Cali
                        












Elecciones 2019

05:07 p.m. 




                            Queman carro de candidato de la U a la alcaldía de El Zulia
                        












Cartagena

03:38 p.m. 




                            El Rey de los picó celebra 35 años de carrera artística en Cartagena
                        









",Por amor a mi hijo
¿Cuán rápido caminas?,Caminar despacio a los 45 puede ser señal de envejecimiento rápido
"Cuando nació mi bisabuela, las mujeres no podían tener cuentas ni propiedades a nombre de ellas.Cuando nació mi abuela, las mujeres no podían terminar el bachillerato ni acceder a la universidad.Cuando nació mi mamá, las mujeres no tenían derecho a votar.Cuando nací yo, las mujeres eran vistas como trofeos de caza y piezas decorativas de belleza.Cuando nació mi hija, las mujeres sufrían de una brutal desigualdad y discriminación laboral.",
"El presidente de Ecuador, Lenín Moreno, y el movimiento indígena, alcanzaron este domingo un acuerdo para poner fin a las protestas que estallaron hace 12 días, tras la decisión del gobierno de derogar el decreto que eliminaba subsidios a los combustibles. ""Con este acuerdo se terminan las movilizaciones y medidas de hecho en todo el Ecuador y nos comprometemos de manera conjunta a restablecer la paz en el país"", señala el acuerdo leído por Arnaud Peral, representante en  Ecuador de la ONU, que medió en la crisis junto a la Iglesia católica.",Indígenas en Ecuador tumban la eliminación del subsidio a la gasolina
