uid,body,title,url,newspaper_uid,host,n_tokens_title,n_tokens_body
2100947921f1ff886657821d2bd1e7b5,"Metrocali05:46 p.m.                             Metrocali, a reestructuración por insolvencia ante millonaria demanda                        Entidad informó que medida busca preservar la operación del MIO, tras  ...Homicidios04:10 p.m.                             Asesinaron a otro guardia indígena en el norte del Cauca                        El crimen se registró en Tacueyó, en zona de Toribío. ...Elsa Noguera11:56 a.m.                             Por fractura de fémur, Elsa Noguera debe descansar, pero campaña sigue                        Elecciones10:13 a.m.                             Jorge Iván Ospina levantó huelga de hambre por 'campaña sucia'                        Transporte08:20 a.m.                             Los primeros 21 buses para rodar con gas natural en Cali                        ",Will Smith huye de Will Smith en Cartagena,https://www.eltiempo.com/cultura/cine-y-tv/will-smith-habla-de-proyecto-geminis-pelicula-que-grabo-en-cartagena-422244,eltiempo,www.eltiempo.com,6,45
c7c6996b6c3a92a55dcebb5701ebbde1,"Metrocali04:53 p.m.                             Metrocali, a reestructuración por insolvencia ante millonaria demanda                        Entidad informó que medida busca preservar la operación del MIO, tras  ...Homicidios04:10 p.m.                             Asesinaron a otro guardia indígena en el norte del Cauca                        El crimen se registró en Tacueyó, en zona de Toribío. ...Elsa Noguera11:56 a.m.                             Por fractura de fémur, Elsa Noguera debe descansar, pero campaña sigue                        Elecciones10:13 a.m.                             Jorge Iván Ospina levantó huelga de hambre por 'campaña sucia'                        Transporte08:20 a.m.                             Los primeros 21 buses para rodar con gas natural en Cali                        ",Síntesis y estadísticas de la fecha 17 de la Liga,https://www.eltiempo.com/economia/sectores/ciudades-con-mas-multimillonarios-en-el-mundo-421018,eltiempo,www.eltiempo.com,4,45
86d52486bde0be0498006d06a37e32ee,"Metrocali05:46 p.m.                             Metrocali, a reestructuración por insolvencia ante millonaria demanda                        Entidad informó que medida busca preservar la operación del MIO, tras  ...Homicidios04:10 p.m.                             Asesinaron a otro guardia indígena en el norte del Cauca                        El crimen se registró en Tacueyó, en zona de Toribío. ...Elsa Noguera11:56 a.m.                             Por fractura de fémur, Elsa Noguera debe descansar, pero campaña sigue                        Elecciones10:13 a.m.                             Jorge Iván Ospina levantó huelga de hambre por 'campaña sucia'                        Transporte08:20 a.m.                             Los primeros 21 buses para rodar con gas natural en Cali                        ",200 años de lo que somos,https://www.eltiempo.com/colombia/otras-ciudades/especial-sobre-bicentenario-de-colombia-2019-368714,eltiempo,www.eltiempo.com,1,45
db9935fe04fd1e6dd77a0d7d5ee51be0,"Saber detectar y conocer los síntomas de enfermedades que pueden poner en riesgo la vida, es fundamental. Para lograrlo, es importante capacitarse sobre el tema, y entender de qué manera se debe actuar, cuando estos se presentan. Un ejemplo de ello, es el ataque cerebrovascular, el cual se entiende por definición como “el daño de la circulación al sistema nervioso y al cerebro. Cuando esto ocurre, puede suceder o porque se ocluye una arteria o porque se rompe. Lo que es más común y de gran importancia social, es cuando se ocluye. El tejido se queda sin circulación y se infarta; una arteria se tapa y el tejido que debía recibir sangre de esa arteria, se infarta” explica el doctor Mario Muñoz Collazos, jefe de neurología de la Clínica Marly.",¿Qué tanto sabe sobre el ataque cerebrovascular?,https://www.eltiempo.com/contenido-comercial/que-tanto-sabe-sobre-el-ataque-cerebrovascular-421854,eltiempo,www.eltiempo.com,3,62
2ba3aaa151adb02578aec7a3d36a9e94,"Las discusiones de pareja son algo tan normal como inevitable. Pero un equipo de investigadores de la Universidad de Tennessee, en Estados Unidos, se propuso averiguar por qué algunas parecen llevarlo mucho mejor que otras, descubriendo que aquellas que son más felices suelen discutir por temas que son más fáciles de resolver.Para alcanzar esta conclusión, publicada en la revista ‘Family Process’, los expertos analizaron a 57 parejas de unos 30 años de edad que llevaban casados unos 9 años; y 64 que tenían más de 70 años y llevaban juntos más de 40.",El secreto a la hora de discutir de las parejas que son más felices,https://www.eltiempo.com/vida/mujeres/estudio-sobre-como-resuelven-las-parejas-sus-discusiones-422724,eltiempo,www.eltiempo.com,5,39
71e47b81cb5b8f13fee1a359c565bc5e,"El grupo argentino de humoristas musicales Les Luthiers recibió el jueves pasado en Madrid un homenaje del Instituto Cervantes y de personajes de la cultura en lengua española. Como ya lo ha hecho con una docena de autores, el Instituto guardó en cajilla de seguridad un legado de recuerdos y memorias del famoso conjunto: partituras, discos, videos, instrumentos, libros y un corbatín, entre otros. La urna solo podrá abrirse el 4 de septiembre de 2042.(Le puede interesar: 'Monos' gana premio a mejor película en Festival de Cine de Londres)",Les Luthiers: las palabras vuelan…en primera clase,https://www.eltiempo.com/cultura/musica-y-libros/les-luthiers-las-palabras-vuelan-en-primera-clase-422626,eltiempo,www.eltiempo.com,4,48
8631a271b06ee63fd5409ef320b7860f,"La presencia de metales pesados como el mercurio y el cadmio, y de rastros de sustancias químicas provenientes de plaguicidas, son, entre otras, las principales causas de contaminación de nuestro mar Caribe y una muestra más de los efectos negativos que tienen las actividades humanas en los recursos hídricos.",Hallan altas concentraciones de cadmio en ostras del Caribe,https://www.eltiempo.com/vida/ciencia/estudio-revela-altos-niveles-de-cadmio-en-ostras-del-mar-caribe-422940,eltiempo,www.eltiempo.com,6,22
f978ba73553f1c505973a607f4110abf,"La familia del expresidente Álvaro Uribe no quiso dejarlo solo el martes en la indagatoria que iba a rendir ante la Corte Suprema. Por eso, desde Antioquia llegaron a Bogotá su esposa, Lina Moreno, y sus dos nueras. Doña Lina se quedó en el apartamento, entre otras cosas, orando, mientras que sus nueras estuvieron un rato en el plantón del Parque Nacional. Su hijo Tomás se quedó para ir a la sede del Centro Democrático.","El apoyo familiar a Uribe, a propósito de la indagatoria / En Secreto",https://www.eltiempo.com/politica/partidos-politicos/alvaro-uribe-el-apoyo-de-su-familia-por-citacion-en-la-corte-en-secreto-422644,eltiempo,www.eltiempo.com,6,40
fa70974b15d7839ef2c96f5041e61ae8,"Federico Gutiérrez, alcalde de Medellín, ya tiene la estructuración de una de las obras claves para el futuro de la ciudad: el tren ligero de la 80. En Bucaramanga, Rodolfo Hernández no cumplió con la construcción de vivienda. En Barranquilla faltó recuperar en su totalidad el paseo Bolívar y Pereira no tendrá aún su ""central park"".",Las obras prometidas que los alcaldes dejaron pendientes,https://www.eltiempo.com/colombia/otras-ciudades/las-obras-prometidas-que-los-alcaldes-dejaron-pendientes-422910,eltiempo,www.eltiempo.com,5,27
ff7bfb555d09f7e68879de3011200250,"La película colombiana ‘Monos’ sigue con su racha de premios en festivales internacionales y no deja de llamar la atención entre la crítica y el público de otras latitudes.Una tendencia que se reforzó gracias al reciente galardón que recibió en la categoría de mejor película en el Festival de Cine de Londres (conocido como el BFI London Film Festival), tras competir con otras nueve producciones internacionales.",'Monos' gana premio a mejor película en Festival de Cine de Londres,https://www.eltiempo.com/cultura/cine-y-tv/filme-colombiano-monos-recibe-galardon-en-festival-de-cine-de-londres-422600,eltiempo,www.eltiempo.com,7,35
031f3573f8e255fdc4b56c043f6c2a7a,"Colombia viene cumpliendo al pie de la letra la tarea puesta para este año en erradicación forzada: arrancar 80.000 de las 169.000 hectáreas sembradas con matas de coca que fueron detectadas por Naciones Unidas durante 2018.Cada día, los integrantes de la Fuerza Pública están eliminando, en promedio, 231 hectáreas sembradas con cultivos de uso ilícito. Entre el 1.º de enero y el 10 de octubre han erradicado 65.231, lo que equivale al 81,65 por ciento de la meta.","En promedio, en un día, se erradican 231 hectáreas de coca",https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/meta-de-erradicacion-forzada-va-en-un-80-por-ciento-422842,eltiempo,www.eltiempo.com,5,35
a69ed856367f0bcef785a57fc60a47ae,"Se oyen pasos de animal grande por el lado del escenario internacional. No me refiero a la dimensión política en la que los desafíos son serios y se han agravado, pero frente a los cuales –dado el curso de la actual estrategia de relaciones exteriores– no quedan demasiadas esperanzas de que se corrija el rumbo. Hacemos alusión, más bien, a otra constelación de severos riesgos para el país. Se trata de ese conjunto de nubarrones de tormenta que se ciernen sobre el horizonte de la economía mundial.",la otra diplomacia columna de gabriel silva lujan 422878,https://www.eltiempo.com/opinion/columnistas/gabriel-silva-lujan/la-otra-diplomacia-columna-de-gabriel-silva-lujan-422878,eltiempo,www.eltiempo.com,5,39
c720037fdbddf717e57509c926afd467,"Un verdadero ‘coctel’ cultural se vivió hace unos días en Bogotá. Una disquera independiente –en uno de los barrios más tradicionales de la ciudad– fue escogida para un completo ‘jam’ de improvisación, en donde los sonidos de la marimba del Pacífico se cruzaron con los del saxofón londinense y las gaitas sucreñas se armonizaron con los de una tuba británica.","Entrevista con Nubya García, la nueva cara del jazz londinense",https://www.eltiempo.com/cultura/musica-y-libros/entrevista-con-nubya-garcia-la-nueva-cara-del-jazz-londinense-422846,eltiempo,www.eltiempo.com,7,26
d63866d1ceddd5ca1cb32b7dae80c641,"Cuatro proyectos de negocios que avanzan en las regiones ofrecen lecciones sobre cómo acercar a los productores al crédito, vincular excombatientes -superando las prevenciones-, o apoyar la tecnificación del campo.Agricapital, Palmiagro, La Cuchilla de San Juan y Mundo Maderas fueron reconocidos con los premios Emprender Paz, iniciativa que desde el 2008 respaldan la Fundación Social, la embajada de Suecia y la Fundación Konrad Adenauer.",4 negocios en agro que dan lecciones de paz y pujanza,https://www.eltiempo.com/economia/sectores/4-negocios-en-agro-que-dan-lecciones-de-paz-y-pujanza-422816,eltiempo,www.eltiempo.com,6,34
4a1729a6e07a48369071e792bec652c1,"Sin tener boca, el planeta habla cada vez más fuerte y claro. Lo hace por medio de los glaciares, que ponen ante nuestros ojos los síntomas de la fiebre que castiga a nuestro mundo. Las montañas, con las cada vez más altas temperaturas, empiezan a ‘sudar’. La Tierra avisa que estamos en un punto en el que, tal y como lo dice la ONU, “si no tomamos acciones inmediatas, no habrá vuelta atrás”. ","Se acerca una era sin glaciares, cada vez se derriten más rápido",https://www.eltiempo.com/vida/medio-ambiente/se-acerca-una-era-sin-glaciares-cada-vez-se-derriten-mas-rapido-422852,eltiempo,www.eltiempo.com,6,36
83f68611d350d7ba02e67bb2a2ae4fde,"Desde 1971, la Fundación Universitaria Juan N. Corpas ha hecho de la farmacología vegetal una de las líneas fundamentales de su trabajo y, gracias a ésta, han podido desarrollar fórmulas magistrales a partir de productos de extracción natural. Le contamos en qué consisten estas fórmulas, en cuáles patologías aplica el uso de plantas medicinales y qué recomendaciones debe seguir un paciente que quiera comenzar el tratamiento.",Fórmulas magistrales: tratamientos diseñados para usted,https://www.eltiempo.com/contenido-comercial/formulas-magistrales-tratamientos-disenados-para-usted-418110,eltiempo,www.eltiempo.com,5,36
9c039a5fd7768662b4fade75938da5f5,"El 9 de octubre, día del paro nacional en Ecuador en contra de las medidas de austeridad del presidente Lenín Moreno, el fotógrafo David Díaz Arcos se encontraba en el Centro Histórico de Quito, cerca de una de las barricadas formadas por la policía y a pocos pasos, sin él saberlo, lo esperaba una de las fotografías de su vida.",¿Qué hay detrás de la foto más emblemática de protestas en Ecuador?,https://www.eltiempo.com/mundo/latinoamerica/que-hay-detras-de-la-foto-mas-emblematica-de-las-protestas-indigenas-en-ecuador-422958,eltiempo,www.eltiempo.com,5,28
8eff6373126b92de8891aa02b434b877,"Está demostrado que la falta de sexo baja las defensas, al punto que los apáticos sobre el catre son más propensos a padecer infecciones, principalmente por virus, de esos que pululan en el ambiente.Y no es cuento, porque la escasez de polvos aumenta el estrés y con ello, la liberación de cortisol y otras sustancias que desgastan el organismo y hacen que se pierda energía, dejando el cuerpo vulnerable frente a algunos invasores.",Los daños del verano sexual / Sexo con Esther,https://www.eltiempo.com/salud/los-danos-del-verano-sexual-columna-de-esther-balac-422684,eltiempo,www.eltiempo.com,5,33
